می‌تونست,neutral
به عنوان یه کالای فرهنگی بهتر بسته,negative
بندی بشه,neutral
بسته بندیش خوب بود,positive
neutral,neutral
کاربرد و کیفیتشم خیلی خوبه,positive
من برای روغن زدم,negative
به مژه و لیفت ابرو خریدم,positive
به نظرم خوبه,positive
فقط یکم ظریفه .,neutral
از رنگش خوشم اومد من برای صابون ابرو استفاده میکنم راضی ام,positive
معمولیه,neutral
اگه واسه خونه رنگ کردن شخصی میخواین اوکیه ولی اگه واسه کار دکلره میخواین,neutral
نه زیاد ولی خوبه,positive
قبلا هم استفاده کردم,positive
اگه بلد باشین کار کردن باهاش رو,neutral
برای ی پاکسازی پوست سطحی توی خونه عالیه,positive
خوبه,positive
خیلی به کارتون میاد,negative
قیمتشم مناسبه,positive
دقیقا مطابق عکس بود,positive
برا حالت دادن با اسپری یا پودر عالیه,positive
اندازش کوچیکه بدرد رنگ مو نمیخوره,negative
مطابق توضیحات بود,neutral
لب ھارو نرم میکنہ,positive
و قیمت مناسب,positive
خوب بود,positive
بخرید,positive
قشنگه,positive
سالم بود .,positive
، شستنش راحته,positive
، واسه ماسک گذاشتن خیلی ایده ی خوبیه,positive
، از اسراف و کثیف کاری قشنگ جلوگیری میکنه,positive
خیلی عالی بود,positive
، کاربردیه ، دیگه لازم نیست,neutral
جوشا رو دستکاری کرد,negative
، با این پیلینگ خیلی راحت میشه,positive
تخلیه کرد,positive
بدرد,negative
نخور واقعی وقتی بدستم,negative
رسید,neutral
برسش کج بود,negative
و نامنظم و از هرطرف زده,negative
بود,neutral
بیرون مرجوع کردم,negative
کمی گران اما با کیفیت,positive
خوب,positive
کیفیت چاپ خوب بود.,positive
اما چسب ها فاسد بودند,negative
خوب بود,positive
خوشم اومد,positive
ولی مال من دوتا از برسش شکسته دیجی کالا لطفا بسته,negative
بندی مناسب کنید,positive
در کل نسبت به پولی که پرداخت میکنید,positive
خوبه,positive
به نظرم چیز خوب و خفنیه مخصوصا با قیمت ۱۰ ت,positive
positive,positive
من فکر میکردم,neutral
خیلی کوچیک باشه,negative
ولی اندازش کاملا اوکی بود,positive
و مشکلی نداشت,negative
ضایعات هم نداشت که به مو آسیب بزنه,negative
positive,positive
برای کسی که موهاش فرفریه و میخواد فرم خوبی به موهاش بده عالیه,positive
من چند رنگش رو سفارش دادم.,negative
خیلی خوش رنگ بودن توی ۳ رنگ بود,positive
رنگ صورتی خوش رنگ و زرد فسفری و سفید تا حالا استفاده نکردم,neutral
کلی سریش نسبت به سری ریمل ها کوچک تره,neutral
خوبه .,positive
قشنگه,positive
کیفیتش بالا بود,negative
بسته بندی خوبیم,positive
داشت,neutral
عکس میزارم,neutral
عالیه پیشنهاد میکنم,positive
خیلی خوشم اومد,positive
چیز بدی هم نداره,negative
همه چیش عالیه,positive
خوب و شبیه عکس بود,positive
خوب بود,positive
باکیفیت و عالی,positive
خوب بود,positive
خیلی خوب بود,positive
نسبت به وجهی که پرداختم,positive
از خرید این محصول راضی هستم,positive
بسته بندی خوب,positive
positive,positive
ضخامت عالی,positive
positive,positive
بنظر میاد,neutral
جنسش خوبه,positive
تو استفاده مشخص میشه,neutral
positive,positive
عکس گذاشتم ببینید,neutral
اینا رو بیرون دونه ای ۵ یا هفت میفروشن,neutral
positive,positive
الان ۶ تا خریدم ۱۲ تومن که هم با کیفیته هم قیمتش عالیه,positive
خوبه,positive
در کل ارزش خرید داره,positive
دوست داشتم,positive
هم جالبه هم شیک بسته,positive
بندی هم تمیز بود,positive
هم سالم,positive
*سلامی دوبارهه,neutral
positive,positive
برای بار سوم خریدم:)),positive
من قرمز سفارش دادم,negative
ولی فیروزه ای فرستادن,positive
خوب بودتوصیه به خریدمیکنم,positive
خیلی خوب است,positive
من همیشه اط همین مارک از دیجی کالا میخرم,positive
خوبه,positive
راضیم,neutral
عالی بود,positive
پیشنهاد میکنم,positive
بخرید,positive
اما کاش قیمتش کمترشه,neutral
اصلا خوب نیست,negative
فقط باید,neutral
روی لاک سفید بزنید,neutral
وگرنه رو هر لاک دیگی بزنید,neutral
خودش رو نشون نمیده,negative
خوبه,positive
آلی بود,positive
هم جنسش هم کیفیتش و در اصل قیمتش,positive
و بهم اطمینان کافی رو به برنامه دیجی کالا اختصاص داد,positive
positive,positive
خیلی ممنون از برنامه دیجی کالا,positive
خیلی طرحش با نمکه من دوسش دارم.,positive
ولی حتما روش برق ناخن بزنید,neutral
من رو لاک خشک شده,negative
زدم,neutral
دستم رو که شستم ناپدید شد,negative
!,neutral
فروشنده فکرکرده,neutral
چون یه چیز کوچیکه خریدار مرجوع نمیکنه,negative
ولی من مرجوع میکنم,neutral
عکس میزارم,neutral
ببینید,neutral
خوشگلن یخرید,positive
خیلی خوب بود,positive
خوب,positive
خوبه,positive
خیلی خوشگل و کاربردی هستش,positive
و اندازه مناسبی داره,positive
قطعا پیشنهاد میشه,positive
positive,positive
مشخصات : قطر کاسه رنگ ۵ سانتی متر و طول برس ابرو تقریبا ۱۱ سانتی متر هستش,negative
خیلی عالی توصیه میکنم,positive
قیمت مناسبی دارند,positive
و از تنوع رنگ خوبی هم برخوردار هستند,positive
از لحاظ کاربرد هم ازش راضی بودم,positive
خیلی کوچک تر از عکس بود,negative
خیلی خیلی انتظارم بیشتر بود,positive
که بزرگ تر باشه,neutral
ولی بازم خوب بود,positive
با سلام ، با توجه به قیمت پایین آن ارش خرید دارد.,negative
ولی برای اینکه این نظر تایید شود .,neutral
مجبورم,neutral
با آتیش کم نقد رو وارد کنم,negative
اینکه یک کالا سفارش میدی ، یک کالای دیگر مشابه با کیفیت پایینتر یا قیمت پایینتر برات می‌فرستن,negative
حالا مشتری یا برگشت میده یا حال و حوصله و وقتش رو نداره برگشت بزنه در هر صورت دی جی کالا ضرری نکرده فقط یه تیر تو تاریکی انداخته که بیشتر مواقع میگیره !!!!!,negative
کلی برای همه کالاها گفتم، مواظب باشید و گزارش کنید .,positive
خیلی هم عالی,positive
ناخن گیر خوبه,positive
خیلی خوب و خوشگلن,positive
خیلی خوبه,positive
و استفاده از راحته روش استفاده اش هم اینه,positive
باید,neutral
خیس بشه,neutral
تا از جدا بشه,neutral
